"personenkonto";"rechnungsnr";"buchdatum";"gkonto";"belegnr";"extbelegnr";"belegdatum";"prozent";"steuercode";"buchcode";"betrag";"steuer";"buchsymbol";"konto";"verbuchkz";"gegenbuchkz";"netto";"kost";"text"
200280;"RE-2026-00050";;;00050;"";;;;;-32,50;-6,50;;4000;"A";"E";-32,50;00050;"RE-2026-00050"
200185;"RE-2026-00051";;;00051;"";;;;;-396,34;-79,27;;4000;"A";"E";-396,34;00051;"RE-2026-00051"
200006;"RE-2026-00052";;;00052;"";;;;;-165,00;-33,00;;4000;"A";"E";-165,00;00052;"RE-2026-00052"
200161;"RE-2026-00053";;;00053;"";;;;;-136,50;-27,30;;4000;"A";"E";-136,50;00053;"RE-2026-00053"
200099;"RE-2026-00054";;;00054;"Kapuzinerstraße/0066";;;;;-73,01;-14,60;;4000;"A";"E";-73,01;00054;"Kapuzinerstraße/0066"
200104;"RE-2026-00055";;;00055;"";;;;;-56,34;-11,27;;4000;"A";"E";-56,34;00055;"RE-2026-00055"
200120;"RE-2026-00056";;;00056;"";;;;;-24,90;-4,98;;4000;"A";"E";-24,90;00056;"RE-2026-00056"
200010;"RE-2026-00057";;;00057;"";;;;;-138,00;-27,60;;4000;"A";"E";-138,00;00057;"RE-2026-00057"
200108;"RE-2026-00058";;;00058;"";;;;;-80,49;-16,09;;4000;"A";"E";-80,49;00058;"RE-2026-00058"
200288;"RE-2026-00059";;;00059;"";;;;;-70,08;-14,02;;4000;"A";"E";-70,08;00059;"RE-2026-00059"
200252;"RE-2026-00060";;;00060;"";;;;;-2444,44;-488,87;;4000;"A";"E";-2444,44;00060;"RE-2026-00060"
200177;"RE-2026-00061";;;00061;"";;;;;-53,00;-10,60;;4000;"A";"E";-53,00;00061;"RE-2026-00061"
200263;"RE-2026-00062";;;00062;"";;;;;-95,20;-19,04;;4000;"A";"E";-95,20;00062;"RE-2026-00062"
200027;"RE-2026-00063";;;00063;"";;;;;-42,00;-8,40;;4000;"A";"E";-42,00;00063;"RE-2026-00063"
200167;"RE-2026-00064";;;00064;"";;;;;-596,61;-119,32;;4000;"A";"E";-596,61;00064;"RE-2026-00064"
200238;"RE-2026-00065";;;00065;"";;;;;-1900,00;-380,00;;4000;"A";"E";-1900,00;00065;"RE-2026-00065"
200137;"RE-2026-00066";;;00066;"";;;;;-225,83;-45,17;;4000;"A";"E";-225,83;00066;"RE-2026-00066"
2000;"RE-2026-00067";;;00067;"";;;;;-28,17;-5,63;;4000;"A";"E";-28,17;00067;"RE-2026-00067"
200246;"RE-2026-00068";;;00068;"";;;;;-250,00;-50,00;;4000;"A";"E";-250,00;00068;"RE-2026-00068"
200029;"RE-2026-00069";;;00069;"";;;;;-57,50;-11,50;;4000;"A";"E";-57,50;00069;"RE-2026-00069"
200108;"RE-2026-00070";;;00070;"";;;;;-24,50;-3,65;;4000;"A";"E";-24,50;00070;"RE-2026-00070"
200007;"RE-2026-00071";;;00071;"";;;;;-36,84;-7,37;;4000;"A";"E";-36,84;00071;"RE-2026-00071"
200021;"RE-2026-00072";;;00072;"";;;;;-80,16;-15,09;;4000;"A";"E";-80,16;00072;"RE-2026-00072"
200261;"RE-2026-00073";;;00073;"";;;;;-52,72;-5,27;;4000;"A";"E";-52,72;00073;"RE-2026-00073"
200138;"RE-2026-00074";;;00074;"";;;;;-351,00;-70,20;;4000;"A";"E";-351,00;00074;"RE-2026-00074"
